date,value,name,type
1983-10-01,24.9360918353834,TerraClimate,Model forcing
1983-11-01,26.8557437369939,TerraClimate,Model forcing
1983-12-01,28.9242713796201,TerraClimate,Model forcing
1984-01-01,41.441266439127,TerraClimate,Model forcing
1984-02-01,44.8278629074156,TerraClimate,Model forcing
1984-03-01,25.3982451907852,TerraClimate,Model forcing
1984-04-01,47.5699777305689,TerraClimate,Model forcing
1984-05-01,90.9067010566657,TerraClimate,Model forcing
1984-06-01,57.0750814937688,TerraClimate,Model forcing
1984-07-01,75.2084677481253,TerraClimate,Model forcing
1984-08-01,75.1770606218438,TerraClimate,Model forcing
1984-09-01,91.1995339035891,TerraClimate,Model forcing
1984-10-01,29.2150512431145,TerraClimate,Model forcing
1984-11-01,35.2131574325889,TerraClimate,Model forcing
1984-12-01,22.5286212297739,TerraClimate,Model forcing
1985-01-01,38.7744278134688,TerraClimate,Model forcing
1985-02-01,28.5007068773105,TerraClimate,Model forcing
1985-03-01,42.8909525357239,TerraClimate,Model forcing
1985-04-01,32.9725718716804,TerraClimate,Model forcing
1985-05-01,72.3475149941593,TerraClimate,Model forcing
1985-06-01,93.9807001634339,TerraClimate,Model forcing
1985-07-01,79.1059948405408,TerraClimate,Model forcing
1985-08-01,149.874331356849,TerraClimate,Model forcing
1985-09-01,27.8616182960163,TerraClimate,Model forcing
1985-10-01,15.7507864761624,TerraClimate,Model forcing
1985-11-01,64.7673738816638,TerraClimate,Model forcing
1985-12-01,48.4102820416344,TerraClimate,Model forcing
1986-01-01,53.8521709996749,TerraClimate,Model forcing
1986-02-01,22.8451446636352,TerraClimate,Model forcing
1986-03-01,33.8066434982482,TerraClimate,Model forcing
1986-04-01,26.8812247832892,TerraClimate,Model forcing
1986-05-01,107.091583896642,TerraClimate,Model forcing
1986-06-01,71.1083694654119,TerraClimate,Model forcing
1986-07-01,72.3888237434992,TerraClimate,Model forcing
1986-08-01,113.964996836347,TerraClimate,Model forcing
1986-09-01,35.9654071787216,TerraClimate,Model forcing
1986-10-01,46.4164624621732,TerraClimate,Model forcing
1986-11-01,22.4394061971393,TerraClimate,Model forcing
1986-12-01,64.4379409082175,TerraClimate,Model forcing
1987-01-01,62.197451841181,TerraClimate,Model forcing
1987-02-01,42.2657121469377,TerraClimate,Model forcing
1987-03-01,38.4921828024012,TerraClimate,Model forcing
1987-04-01,32.4410318751463,TerraClimate,Model forcing
1987-05-01,102.953640245098,TerraClimate,Model forcing
1987-06-01,100.541831488935,TerraClimate,Model forcing
1987-07-01,99.5021629823062,TerraClimate,Model forcing
1987-08-01,73.343600355088,TerraClimate,Model forcing
1987-09-01,66.6769395961922,TerraClimate,Model forcing
1987-10-01,28.7601520626998,TerraClimate,Model forcing
1987-11-01,40.4869893163694,TerraClimate,Model forcing
1987-12-01,56.5571076346107,TerraClimate,Model forcing
1988-01-01,37.802282693965,TerraClimate,Model forcing
1988-02-01,52.3449874021866,TerraClimate,Model forcing
1988-03-01,71.695104321326,TerraClimate,Model forcing
1988-04-01,19.1174979961728,TerraClimate,Model forcing
1988-05-01,39.8547687683678,TerraClimate,Model forcing
1988-06-01,89.7023010017616,TerraClimate,Model forcing
1988-07-01,96.1277566742698,TerraClimate,Model forcing
1988-08-01,81.1758598749793,TerraClimate,Model forcing
1988-09-01,62.081846679991,TerraClimate,Model forcing
1988-10-01,27.5596512977438,TerraClimate,Model forcing
1988-11-01,43.5539229773895,TerraClimate,Model forcing
1988-12-01,69.2989367614858,TerraClimate,Model forcing
1989-01-01,16.66961409282,TerraClimate,Model forcing
1989-02-01,24.7822876958034,TerraClimate,Model forcing
1989-03-01,29.8632263266325,TerraClimate,Model forcing
1989-04-01,72.9221108577239,TerraClimate,Model forcing
1989-05-01,48.7605308279881,TerraClimate,Model forcing
1989-06-01,89.3478276823408,TerraClimate,Model forcing
1989-07-01,84.6136346012809,TerraClimate,Model forcing
1989-08-01,64.3564266548775,TerraClimate,Model forcing
1989-09-01,53.4464520775885,TerraClimate,Model forcing
1989-10-01,31.2499585589507,TerraClimate,Model forcing
1989-11-01,35.7120956558527,TerraClimate,Model forcing
1989-12-01,30.8033230701045,TerraClimate,Model forcing
1990-01-01,12.6048141102896,TerraClimate,Model forcing
1990-02-01,54.1101370762379,TerraClimate,Model forcing
1990-03-01,25.6781675076146,TerraClimate,Model forcing
1990-04-01,67.3936195088936,TerraClimate,Model forcing
1990-05-01,47.7901100063634,TerraClimate,Model forcing
1990-06-01,86.2689753600266,TerraClimate,Model forcing
1990-07-01,38.1821890925277,TerraClimate,Model forcing
1990-08-01,46.4871026302183,TerraClimate,Model forcing
1990-09-01,67.0857607153701,TerraClimate,Model forcing
1990-10-01,41.0038852748416,TerraClimate,Model forcing
1990-11-01,60.0481629823446,TerraClimate,Model forcing
1990-12-01,37.4399151324459,TerraClimate,Model forcing
1991-01-01,15.0697374603744,TerraClimate,Model forcing
1991-02-01,16.2614750646003,TerraClimate,Model forcing
1991-03-01,24.5514949748499,TerraClimate,Model forcing
1991-04-01,29.3233130787861,TerraClimate,Model forcing
1991-05-01,77.6697895261883,TerraClimate,Model forcing
1991-06-01,97.8736354639873,TerraClimate,Model forcing
